time,Temperature,Humidity,Light,CO2,HumidityRatio
2015-02-04 17:51:00,23.18,27.272,426.0,721.25,0.00479298817650529
2015-02-04 17:51:59,23.15,27.2675,429.5,714.0,0.00478344094931065
2015-02-04 17:53:00,23.15,27.245,426.0,713.5,0.00477946352442199
2015-02-04 17:54:00,23.15,27.2,426.0,708.25,0.00477150882608175
2015-02-04 17:55:00,23.1,27.2,426.0,704.5,0.00475699293331518
2015-02-04 17:55:59,23.1,27.2,419.0,701.0,0.00475699293331518
2015-02-04 17:57:00,23.1,27.2,419.0,701.666666666667,0.00475699293331518
2015-02-04 17:57:59,23.1,27.2,419.0,699.0,0.00475699293331518
2015-02-04 17:58:59,23.1,27.2,419.0,689.333333333333,0.00475699293331518
2015-02-04 18:00:00,23.075,27.175,419.0,688.0,0.00474535071966655
2015-02-04 18:01:00,23.075,27.15,419.0,690.25,0.00474095189694268
2015-02-04 18:02:00,23.1,27.1,419.0,691.0,0.00473937073052061
2015-02-04 18:03:00,23.1,27.1666666666667,419.0,683.5,0.00475111875560951
2015-02-04 18:04:00,23.05,27.15,419.0,687.5,0.0047337317970825
2015-02-04 18:04:59,23.0,27.125,419.0,686.0,0.00471494214590473
2015-02-04 18:06:00,23.0,27.125,418.5,680.5,0.00471494214590473
2015-02-04 18:07:00,23.0,27.2,0.0,681.5,0.00472807794966877
2015-02-04 18:08:00,22.945,27.29,0.0,685.0,0.00472795137178073
2015-02-04 18:08:59,22.945,27.39,0.0,685.0,0.0047454083970941
2015-02-04 18:10:00,22.89,27.39,0.0,689.0,0.00472950615591001
2015-02-04 18:10:59,22.89,27.39,0.0,689.5,0.00472950615591001
2015-02-04 18:11:59,22.89,27.39,0.0,689.0,0.00472950615591001
2015-02-04 18:13:00,22.89,27.445,0.0,691.0,0.00473907551474663
2015-02-04 18:14:00,22.89,27.5,0.0,688.0,0.00474864516581148
2015-02-04 18:15:00,22.89,27.5,0.0,689.5,0.00474864516581148
2015-02-04 18:16:00,22.79,27.445,0.0,689.0,0.00471022404680625
2015-02-04 18:16:59,22.79,27.5,0.0,685.666666666667,0.00471973499914952
2015-02-04 18:17:59,22.79,27.5,0.0,687.0,0.00471973499914952
2015-02-04 18:19:00,22.79,27.5,0.0,688.0,0.00471973499914952
2015-02-04 18:20:00,22.745,27.5,0.0,670.0,0.0047067761580489
